Dispatch_Date,AGGRAVATED ASSAULT,MISC,MOTOR VEHICLE THEFT,BURGLARY,ARSON,ROBBERY,RAPE,DRUG OFFENSE,MURDER AND NON-NEGLIGENT MANSLAUGHTER
2007-01-30,78,266,115,32,1,35,0,46,1
2007-01-31,80,223,122,31,2,36,1,48,1
2007-02-01,98,277,114,27,3,18,1,55,0
2007-02-02,66,236,105,17,2,31,4,59,2
2007-02-03,84,248,94,17,0,21,2,45,0
2007-02-04,70,269,101,28,0,25,2,38,0
2007-02-05,84,203,108,36,0,31,4,36,0
2007-02-06,82,215,120,28,3,16,4,75,0
2007-02-07,93,213,109,27,4,15,2,46,0
2007-02-08,91,239,111,32,0,21,5,61,2
2007-02-09,100,213,111,29,3,23,0,67,3
2007-02-10,87,242,108,27,0,37,1,56,1
2007-02-11,82,230,84,19,2,18,5,43,1
2007-02-12,91,231,123,28,1,20,4,44,1
2007-02-13,81,171,102,32,2,27,1,44,2
2007-02-14,57,134,68,12,0,16,2,27,1
2007-02-15,65,161,76,9,0,18,0,47,2
2007-02-16,82,172,95,24,1,18,1,43,0
2007-02-17,79,184,80,20,0,30,2,46,3
2007-02-18,96,198,86,17,1,31,5,44,2
2007-02-19,80,232,87,22,0,25,4,69,0
2007-02-20,82,227,103,27,1,25,4,40,0
2007-02-21,105,280,118,32,3,27,5,64,0
2007-02-22,110,237,118,22,1,19,1,61,1
2007-02-23,97,220,110,18,1,30,1,45,1
2007-02-24,79,218,96,24,3,15,3,45,2
2007-02-25,91,247,132,22,2,21,2,41,1
2007-02-26,81,227,113,24,2,12,4,51,2
2007-02-27,104,287,122,23,0,30,3,64,0
2007-02-28,106,261,118,28,1,21,3,58,1
2007-03-01,115,235,122,24,1,22,3,52,2
2007-03-02,115,240,108,28,0,30,5,56,0
2007-03-03,103,266,129,20,0,24,2,67,1
2007-03-04,91,283,124,25,2,23,2,66,1
2007-03-05,100,252,128,32,3,24,6,56,2
2007-03-06,112,218,113,21,2,19,3,55,2
2007-03-07,79,207,104,26,3,23,5,57,0
2007-03-08,102,243,99,26,0,17,9,52,0
2007-03-09,101,217,126,28,1,23,3,47,1
2007-03-10,99,302,119,23,3,33,7,61,0
2007-03-11,79,239,117,25,0,27,0,47,2
2007-03-12,95,283,140,37,1,31,4,49,4
2007-03-13,106,337,139,31,2,22,3,93,1
2007-03-14,129,330,123,20,3,18,2,57,1
2007-03-15,129,281,126,32,1,22,4,54,1
2007-03-16,62,164,95,13,5,14,3,25,0
2007-03-17,53,151,74,13,1,18,3,32,1
2007-03-18,108,214,90,16,2,12,3,40,0
2007-03-19,98,216,100,23,0,27,5,59,1
2007-03-20,106,309,125,28,3,21,4,71,2
2007-03-21,119,293,117,25,2,31,3,73,2
2007-03-22,126,321,121,29,1,16,2,58,0
2007-03-23,114,267,137,27,1,29,4,53,1
2007-03-24,89,291,112,19,2,28,1,84,1
2007-03-25,94,294,119,23,3,28,3,51,3
