Occurred Date,AGGRAVATED ASSAULT,DRUG OFFENSE,MURDER AND NON-NEGLIGENT MANSLAUGHTER,RAPE,MISC,BURGLARY,LARCENY-THEFT,MOTOR VEHICLE THEFT,ARSON
2016-03-10,8,4,0,2,53,20,28,6,0
2016-03-11,8,2,0,0,43,19,40,11,0
2016-03-12,4,2,0,2,46,14,30,7,0
2016-03-13,9,1,0,3,34,16,25,7,0
2016-03-14,10,4,0,3,41,24,30,12,0
2016-03-15,4,7,0,3,57,21,37,8,0
2016-03-16,7,2,0,3,45,11,28,10,0
2016-03-17,2,3,0,0,56,15,46,10,0
2016-03-18,5,1,0,2,54,31,35,7,0
2016-03-19,4,5,0,1,60,22,32,13,0
2016-03-20,6,0,1,0,51,17,35,6,0
2016-03-21,4,1,0,4,42,22,34,8,0
2016-03-22,7,4,0,2,49,22,36,10,1
2016-03-23,6,1,0,0,57,12,35,6,0
2016-03-24,4,3,0,2,65,23,42,12,0
2016-03-25,7,1,1,3,53,13,41,15,0
2016-03-26,6,4,0,0,60,11,47,12,0
2016-03-27,7,2,0,5,67,19,23,6,0
2016-03-28,4,6,0,0,34,13,24,10,0
2016-03-29,6,4,0,2,47,30,49,8,0
2016-03-30,4,2,1,2,48,22,48,13,0
2016-03-31,5,4,0,4,37,24,38,15,0
2016-04-01,2,6,0,5,58,38,44,7,0
2016-04-02,11,7,1,1,51,19,34,7,1
2016-04-03,3,3,0,3,44,20,19,6,0
2016-04-04,4,3,0,0,53,16,34,11,0
2016-04-05,6,9,0,3,64,18,24,9,0
2016-04-06,1,7,0,1,48,16,35,12,0
2016-04-07,5,1,1,1,57,18,43,12,0
2016-04-08,6,2,0,4,54,23,37,6,0
2016-04-09,4,2,0,2,45,15,42,8,0
2016-04-10,1,0,0,2,29,28,38,9,1
2016-04-11,6,2,0,2,46,20,30,11,0
2016-04-12,6,0,0,1,51,24,44,10,0
2016-04-13,4,5,0,0,50,21,37,8,0
2016-04-14,5,2,0,3,49,24,36,11,0
2016-04-15,6,4,0,7,59,22,50,7,0
2016-04-16,3,3,0,2,53,22,34,11,0
2016-04-17,3,2,0,1,46,23,37,12,0
2016-04-18,6,0,0,3,74,22,35,11,0
2016-04-19,5,4,0,1,44,20,31,10,0
2016-04-20,5,4,0,5,55,23,35,10,0
2016-04-21,8,1,0,2,55,18,37,13,0
2016-04-22,7,1,0,5,53,29,38,15,0
2016-04-23,8,1,0,4,56,25,39,8,0
2016-04-24,6,6,0,2,61,13,32,13,0
2016-04-25,5,2,0,2,42,31,27,7,1
2016-04-26,5,5,0,1,62,21,27,10,0
2016-04-27,5,2,0,6,54,10,35,9,0
2016-04-28,2,4,0,0,47,20,27,13,0
2016-04-29,5,1,0,4,59,19,54,4,0
2016-04-30,10,3,0,1,48,31,45,7,1
2016-05-01,9,1,0,8,48,15,32,21,2
2016-05-02,8,3,1,3,47,20,38,12,0
2016-05-03,4,5,0,1,47,17,41,16,0
2016-05-04,4,7,0,2,48,25,44,9,0
2016-05-05,5,1,0,2,44,22,41,9,0
2016-05-06,3,8,0,5,65,22,38,10,0
2016-05-07,6,2,0,1,49,19,46,13,0
2016-05-08,10,4,0,4,46,17,35,9,0
2016-05-09,6,3,0,3,49,20,43,7,0
2016-05-10,6,0,0,2,62,33,36,11,1
2016-05-11,3,3,0,1,51,20,32,6,1
2016-05-12,3,4,0,2,44,23,33,11,1
2016-05-13,8,3,0,6,40,25,40,9,1
2016-05-14,7,1,0,3,52,22,47,14,0
2016-05-15,7,1,0,1,58,17,37,12,1
2016-05-16,8,3,0,2,55,22,34,11,0
2016-05-17,5,4,0,1,47,24,44,4,1
2016-05-18,8,3,0,3,68,36,38,9,0
2016-05-19,3,4,0,1,52,23,39,7,0
2016-05-20,12,2,0,4,67,26,36,11,0
2016-05-21,9,4,0,1,61,24,57,8,0
2016-05-22,7,3,0,3,56,22,32,13,0
2016-05-23,2,4,0,0,64,15,30,7,0
2016-05-24,1,4,0,4,58,17,49,14,0
2016-05-25,4,1,0,4,76,22,46,7,1
2016-05-26,10,5,0,3,42,25,34,12,1
2016-05-27,5,4,0,5,67,33,45,12,0
2016-05-28,6,3,0,3,55,24,34,20,0
2016-05-29,7,2,0,5,55,13,38,11,0
2016-05-30,6,2,0,2,65,18,32,9,0
2016-05-31,6,7,0,0,55,20,51,8,0
2016-06-01,4,3,0,3,49,25,60,8,0
2016-06-02,5,6,1,2,52,19,42,10,0
2016-06-03,6,5,0,0,49,19,42,4,0
2016-06-04,8,0,0,2,48,19,39,8,0
2016-06-05,5,1,0,7,48,14,32,7,0
2016-06-06,8,4,0,2,46,17,29,6,2
2016-06-07,9,5,0,1,47,19,43,8,0
2016-06-08,1,1,0,4,47,18,40,8,2
2016-06-09,4,4,0,3,46,18,42,12,0
2016-06-10,5,5,0,2,54,18,42,13,0
2016-06-11,2,0,0,1,62,15,28,12,0
2016-06-12,7,0,0,3,53,16,27,10,2
2016-06-13,6,5,0,1,53,19,49,8,2
2016-06-14,2,2,0,1,55,13,41,11,0
2016-06-15,13,7,0,2,65,15,31,4,1
2016-06-16,6,4,0,5,48,25,34,10,2
