date,LARCENY-THEFT,AGGRAVATED ASSAULT,BURGLARY,MOTOR VEHICLE THEFT,FRAUD,DRUG OFFENSE,ARSON,MURDER AND NON-NEGLIGENT MANSLAUGHTER,MISC
5/7/2016,31,6,7,3,0,9,0,0,0
5/8/2016,45,6,3,3,1,2,0,1,0
5/9/2016,33,10,11,3,1,0,1,0,0
5/10/2016,32,8,14,1,3,9,0,0,0
5/11/2016,41,5,9,4,10,3,0,0,0
5/12/2016,35,13,7,3,4,13,0,0,0
5/13/2016,33,7,5,1,6,2,0,0,0
5/14/2016,32,11,4,2,0,3,0,0,0
5/15/2016,27,8,1,4,1,2,0,0,0
5/16/2016,43,9,6,6,14,4,0,0,0
5/17/2016,39,6,10,2,4,4,1,0,0
5/18/2016,37,12,8,7,5,11,0,0,0
5/19/2016,22,8,7,4,6,13,0,0,0
5/20/2016,40,7,11,3,6,5,0,0,0
5/21/2016,39,5,2,5,2,13,0,0,0
5/22/2016,25,4,5,2,1,10,0,0,0
5/23/2016,44,8,11,8,8,3,0,0,0
5/24/2016,28,3,11,2,3,11,0,0,0
5/25/2016,44,8,11,0,4,12,0,0,0
5/26/2016,41,5,11,3,6,15,1,0,0
5/27/2016,39,8,9,4,3,8,0,1,0
5/28/2016,55,5,3,2,1,3,0,0,0
5/29/2016,28,6,9,5,2,4,0,0,0
5/30/2016,22,6,14,0,1,7,0,1,0
5/31/2016,44,6,12,3,7,6,0,0,0
6/1/2016,32,10,8,1,6,6,0,0,0
6/2/2016,24,11,12,2,9,11,0,0,0
6/3/2016,25,11,11,3,7,14,0,0,0
6/4/2016,40,10,8,6,3,16,0,0,0
6/5/2016,25,9,4,1,1,9,0,0,1
6/6/2016,24,3,8,5,6,5,1,0,0
6/7/2016,30,5,6,3,2,7,0,0,0
6/8/2016,31,6,8,4,7,10,0,0,0
6/9/2016,38,7,9,7,4,16,0,0,0
6/10/2016,28,7,9,1,0,4,0,1,0
6/11/2016,20,10,3,1,1,3,0,0,0
6/12/2016,17,5,5,5,1,0,0,0,0
6/13/2016,59,3,8,5,1,0,0,0,0
6/14/2016,40,3,5,1,8,3,0,0,0
6/15/2016,25,4,10,4,2,3,0,0,0
6/16/2016,28,6,7,4,5,2,0,0,0
6/17/2016,32,6,9,7,3,5,0,0,0
