date,AGGRAVATED ASSAULT,DRUG OFFENSE,MURDER AND NON-NEGLIGENT MANSLAUGHTER,RAPE,MISC,BURGLARY,LARCENY-THEFT,MOTOR VEHICLE THEFT,ARSON
6/2/2016,5,6,1,2,52,19,42,10,0
6/3/2016,6,5,0,0,49,19,42,4,0
6/4/2016,8,0,0,2,48,19,39,8,0
6/5/2016,5,1,0,7,48,14,32,7,0
6/6/2016,8,4,0,2,46,17,29,6,2
6/7/2016,9,5,0,1,47,19,43,8,0
6/8/2016,1,1,0,4,47,18,40,8,2
6/9/2016,4,4,0,3,46,18,42,12,0
6/10/2016,5,5,0,2,54,18,42,13,0
6/11/2016,2,0,0,1,62,15,28,12,0
6/12/2016,7,0,0,3,53,16,27,10,2
6/13/2016,6,5,0,1,53,19,49,8,2
6/14/2016,2,2,0,1,55,13,41,11,0
6/15/2016,13,7,0,2,65,15,31,4,1
6/16/2016,6,4,0,5,48,25,34,10,2
6/17/2016,5,1,0,2,66,19,34,8,0
6/18/2016,9,5,0,2,55,18,51,14,3
