County,Agency,Year,Months Reported,Index Total,Violent Total,Murder,Rape,Robbery,Aggravated Assault,Property Total,Burglary,Larceny,Motor Vehicle Theft,Region
Westchester,Elmsford Vg PD,2016,12,27,6,0,1,2,3,21,4,14,3,Non-New York City
Westchester,Greenburgh Town PD,2016,12,822,57,0,12,15,30,765,36,707,22,Non-New York City
Westchester,Harrison Town PD,2016,12,127,1,0,0,0,1,126,7,118,1,Non-New York City
Westchester,Hastings-on-Hudson Vg PD,2016,12,57,2,0,0,2,0,55,2,50,3,Non-New York City
Westchester,Irvington Vg PD,2016,12,23,2,0,0,1,1,21,8,13,0,Non-New York City
Westchester,Larchmont Vg PD,2016,12,106,2,0,0,1,1,104,10,91,3,Non-New York City
Westchester,Lewisboro Town PD,2016,12,2,0,0,0,0,0,2,0,2,0,Non-New York City
Westchester,Mamaroneck Town PD,2016,12,88,4,0,0,1,3,84,14,67,3,Non-New York City
Westchester,Mamaroneck Vg PD,2016,12,113,17,0,1,2,14,96,11,82,3,Non-New York City
Westchester,Mount Pleasant Town PD,2016,12,224,14,0,3,6,5,210,28,182,0,Non-New York City
Westchester,Mount Vernon City PD,2016,12,1691,459,11,31,156,261,1232,196,918,118,Non-New York City
Westchester,New Castle Town PD,2016,12,59,3,0,0,1,2,56,5,50,1,Non-New York City
Westchester,New Rochelle City PD,2016,12,1350,175,3,14,67,91,1175,118,996,61,Non-New York City
Westchester,North Castle Town PD,2016,12,78,1,0,0,0,1,77,6,69,2,Non-New York City
Westchester,Ossining Vg PD,2016,12,172,17,0,1,6,10,155,32,117,6,Non-New York City
Westchester,Peekskill City PD,2016,12,200,27,0,1,9,17,173,19,146,8,Non-New York City
Westchester,Pelham Manor Vg PD,2016,12,166,3,0,0,2,1,163,20,130,13,Non-New York City
Westchester,Pelham Vg PD,2016,12,91,6,0,0,1,5,85,7,74,4,Non-New York City
Westchester,Pleasantville Vg PD,2016,12,71,1,0,0,0,1,70,7,61,2,Non-New York City
Westchester,Port Chester Vg PD,2016,12,550,44,0,2,21,21,506,47,441,18,Non-New York City
Westchester,Pound Ridge Town PD,2016,12,38,1,0,1,0,0,37,2,34,1,Non-New York City
