Date,MOTOR VEHICLE THEFT,LARCENY-THEFT,RAPE,DRUG OFFENSE,BURGLARY,AGGRAVATED ASSAULT,MURDER AND NON-NEGLIGENT MANSLAUGHTER,ROBBERY,ARSON
05/24/2016,16,80,1,4,26,4,0,0,0
05/24/2017,11,70,2,2,28,7,0,4,0
05/24/2018,15,62,1,6,24,6,0,2,0
05/25/2016,9,59,1,8,24,4,0,3,0
05/25/2017,13,55,2,3,36,8,0,4,0
05/25/2018,12,74,1,7,28,5,0,0,0
05/26/2016,13,63,1,4,28,8,0,1,0
05/26/2017,15,87,2,3,36,12,0,4,0
05/26/2018,10,55,1,5,26,15,0,1,0
05/27/2016,21,65,3,5,30,7,0,1,0
05/27/2017,16,54,4,9,23,13,0,3,0
05/27/2018,10,47,0,5,14,6,0,3,1
05/28/2016,13,58,1,1,31,9,1,4,0
05/28/2017,15,61,2,9,25,4,1,4,0
05/28/2018,12,59,3,4,20,8,0,3,0
05/29/2016,19,61,3,4,31,6,0,2,1
05/29/2017,16,67,1,5,19,19,1,3,0
05/29/2018,13,60,2,6,14,9,0,4,0
05/30/2016,14,61,2,5,27,0,0,5,0
05/30/2017,19,65,0,3,21,12,0,7,0
05/30/2018,12,58,0,4,15,5,0,1,1
05/31/2016,20,66,0,4,31,4,0,0,1
05/31/2017,21,72,2,3,31,10,0,5,0
05/31/2018,15,57,0,7,22,5,1,2,2
06/01/2016,21,88,5,8,31,5,0,1,0
06/01/2017,17,91,14,7,27,11,0,9,0
06/01/2018,15,81,2,9,28,9,0,4,0
06/02/2016,19,60,2,10,24,4,1,2,0
06/02/2017,20,68,1,6,27,9,0,4,0
06/02/2018,11,60,2,4,18,5,0,2,1
06/03/2016,25,54,1,2,37,3,0,3,0
06/03/2017,14,55,0,7,21,2,1,7,1
06/03/2018,15,49,1,7,16,4,1,3,0
06/04/2016,19,79,0,1,23,8,1,4,0
06/04/2017,18,58,1,6,20,9,0,2,1
06/04/2018,18,83,0,3,24,9,0,0,1
06/05/2016,16,43,2,4,20,4,0,3,0
06/05/2017,23,59,2,11,34,3,0,3,0
06/05/2018,13,68,5,5,28,9,1,7,0
06/06/2016,9,74,3,5,31,4,1,3,0
06/06/2017,15,81,2,3,27,9,0,5,0
06/06/2018,5,68,1,8,23,6,0,3,0
06/07/2016,11,71,2,5,17,7,0,3,1
06/07/2017,13,49,1,3,29,2,0,2,0
06/07/2018,16,56,1,7,15,5,0,1,1
06/08/2016,11,69,2,6,19,3,0,3,0
06/08/2017,11,72,4,8,30,7,0,4,1
06/08/2018,22,73,1,10,23,4,1,3,0
06/09/2016,16,59,2,1,32,4,0,0,0
06/09/2017,16,55,4,3,27,8,0,5,0
06/09/2018,24,57,1,5,14,6,0,4,1
06/10/2016,24,77,2,6,34,6,1,4,0
06/10/2017,19,69,1,4,27,9,0,5,1
06/10/2018,10,52,3,4,13,6,0,2,0
06/11/2016,21,65,2,1,29,2,0,4,0
06/11/2017,15,42,1,2,21,6,0,9,0
06/11/2018,16,52,3,4,16,2,0,6,0
06/12/2016,21,58,3,3,20,7,0,2,0
06/12/2017,19,72,3,9,23,6,0,4,1
06/12/2018,14,67,0,10,15,8,0,2,0
06/13/2016,15,58,1,4,27,4,0,6,1
06/13/2017,14,67,1,5,31,5,0,3,1
06/13/2018,18,57,2,6,25,9,0,3,0
06/14/2016,21,59,1,6,29,3,0,5,0
06/14/2017,6,84,2,2,32,7,0,6,1
06/14/2018,19,62,2,4,28,8,0,1,2
06/15/2016,13,63,0,13,37,3,0,4,1
06/15/2017,15,74,0,1,40,3,1,4,0
06/15/2018,18,66,3,9,24,7,0,3,0
06/16/2016,15,69,2,2,29,10,2,3,0
06/16/2017,21,67,4,1,34,5,1,3,1
06/16/2018,13,60,3,4,12,8,1,4,0
06/17/2016,19,68,0,7,38,2,0,2,1
06/17/2017,15,61,2,7,25,5,0,2,1
06/17/2018,22,64,2,8,17,8,0,2,0
06/18/2016,27,65,2,1,24,11,0,1,0
06/18/2017,15,48,3,5,23,12,0,4,0
06/18/2018,19,54,0,9,24,6,0,4,0
06/19/2016,28,51,1,3,22,5,0,5,0
06/19/2017,17,64,0,4,32,5,0,3,0
06/19/2018,17,55,0,7,22,5,0,3,1
06/20/2016,19,55,4,3,25,1,0,5,2
06/20/2017,16,64,1,5,26,6,0,3,0
06/20/2018,14,53,1,4,22,8,0,5,0
06/21/2016,13,74,3,6,29,3,0,6,0
06/21/2017,25,52,3,5,26,4,0,1,0
06/21/2018,13,72,1,11,27,4,0,1,0
06/22/2016,24,63,2,5,26,7,0,5,0
06/22/2017,13,68,1,3,22,8,0,4,0
